file_name,deployment,split,family,genus,species
A000001_L.avi.5107.png-17006-1.png,A000001,train,Scaridae,Chlorurus,Chlorurus capistratoides
A000001_R.avi.4902.png-17005-1.png,A000001,train,Scaridae,Chlorurus,Chlorurus capistratoides
A000001_L.avi.5174.png-17004-1.png,A000001,train,Scaridae,Chlorurus,Chlorurus capistratoides
A000001_R.avi.4969.png-17003-1.png,A000001,train,Scaridae,Chlorurus,Chlorurus capistratoides
A000001_L.avi.5194.png-17002-1.png,A000001,train,Acanthuridae,Acanthurus,Acanthurus leucocheilus
A000001_R.avi.4989.png-17001-1.png,A000001,train,Acanthuridae,Acanthurus,Acanthurus leucocheilus
A000001_L.avi.5401.png-17000-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5196.png-16998-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5401.png-17000-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5196.png-16998-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5422.png-16999-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5217.png-16996-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5431.png-16997-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5226.png-16995-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5546.png-16994-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5341.png-16993-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5546.png-16994-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5341.png-16993-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5573.png-16992-1.png,A000001,train,Labridae,Hemigymnus,Hemigymnus fasciatus
A000001_R.avi.5368.png-16991-1.png,A000001,train,Labridae,Hemigymnus,Hemigymnus fasciatus
A000001_L.avi.5584.png-16990-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5379.png-16989-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5594.png-16988-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5389.png-16987-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5636.png-16986-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5431.png-16984-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5636.png-16986-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5431.png-16984-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5665.png-16985-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5460.png-16982-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5781.png-16981-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_R.avi.5576.png-16979-1.png,A000001,train,Pomacentridae,Dascyllus,Dascyllus reticulatus
A000001_L.avi.5884.png-16978-1.png,A000001,train,Acanthuridae,Zebrasoma,Zebrasoma scopas
A000001_R.avi.5679.png-16977-1.png,A000001,train,Acanthuridae,Zebrasoma,Zebrasoma scopas
A000001_L.avi.5884.png-16978-1.png,A000001,train,Acanthuridae,Zebrasoma,Zebrasoma scopas
A000001_R.avi.5679.png-16977-1.png,A000001,train,Acanthuridae,Zebrasoma,Zebrasoma scopas
A000001_L.avi.6010.png-16976-1.png,A000001,train,Labridae,Oxycheilinus,Oxycheilinus digrammus
A000001_R.avi.5805.png-16975-1.png,A000001,train,Labridae,Oxycheilinus,Oxycheilinus digrammus
A000001_L.avi.6226.png-16974-1.png,A000001,train,Labridae,Oxycheilinus,Oxycheilinus digrammus
A000001_R.avi.6021.png-16972-1.png,A000001,train,Labridae,Oxycheilinus,Oxycheilinus digrammus
A000001_L.avi.6847.png-16973-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6642.png-16970-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.6853.png-16971-1.png,A000001,train,Pomacentridae,Chromis,Chromis weberi
A000001_R.avi.6648.png-16969-1.png,A000001,train,Pomacentridae,Chromis,Chromis weberi
A000001_L.avi.6885.png-16968-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6680.png-16967-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.6885.png-16968-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6680.png-16967-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.6887.png-16966-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6682.png-16965-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.6887.png-16966-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6682.png-16965-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.6895.png-16964-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6690.png-16962-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.6895.png-16964-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6690.png-16962-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.6965.png-16963-1.png,A000001,train,Pomacentridae,Chromis,Chromis weberi
A000001_R.avi.6760.png-16961-1.png,A000001,train,Pomacentridae,Chromis,Chromis weberi
A000001_L.avi.7145.png-16960-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6940.png-16959-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.7145.png-16960-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6940.png-16959-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.7145.png-16960-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_R.avi.6940.png-16959-1.png,A000001,train,Pomacentridae,Pomacentrus,Pomacentrus coelestis
A000001_L.avi.7318.png-16958-1.png,A000001,train,Serranidae,Epinephelus,Epinephelus fasciatus
A000001_R.avi.7113.png-16956-1.png,A000001,train,Serranidae,Epinephelus,Epinephelus fasciatus
A000001_L.avi.7335.png-16957-1.png,A000001,train,Mullidae,Parupeneus,Parupeneus multifasciatus
A000001_R.avi.7130.png-16954-1.png,A000001,train,Mullidae,Parupeneus,Parupeneus multifasciatus
A000001_L.avi.7355.png-16955-1.png,A000001,train,Mullidae,Parupeneus,Parupeneus multifasciatus
A000001_R.avi.7150.png-16952-1.png,A000001,train,Mullidae,Parupeneus,Parupeneus multifasciatus
A000001_L.avi.7464.png-16953-1.png,A000001,train,Acanthuridae,Ctenochaetus,Ctenochaetus striatus
A000001_R.avi.7259.png-16951-1.png,A000001,train,Acanthuridae,Ctenochaetus,Ctenochaetus striatus
A000001_L.avi.7649.png-16950-1.png,A000001,train,Balistidae,Balistapus,Balistapus undulatus
A000001_R.avi.7444.png-16949-1.png,A000001,train,Balistidae,Balistapus,Balistapus undulatus
A000001_L.avi.7723.png-16948-1.png,A000001,train,Balistidae,Sufflamen,Sufflamen chrysopterum
A000001_R.avi.7518.png-16947-1.png,A000001,train,Balistidae,Sufflamen,Sufflamen chrysopterum
A000001_L.avi.9004.png-16946-1.png,A000001,train,Pomacanthidae,Apolemichthys,Apolemichthys trimaculatus
A000001_R.avi.8799.png-16945-1.png,A000001,train,Pomacanthidae,Apolemichthys,Apolemichthys trimaculatus
A000001_L.avi.9005.png-16943-1.png,A000001,train,Pomacanthidae,Apolemichthys,Apolemichthys trimaculatus
A000001_R.avi.8800.png-16942-1.png,A000001,train,Pomacanthidae,Apolemichthys,Apolemichthys trimaculatus
A000001_L.avi.11387.png-16944-1.png,A000001,train,Balistidae,Balistoides,Balistoides viridescens
